,Author,Title,Poem
10,Edgar Allan Poe,Annabel Lee,"It was many and many a year ago,
In a kingdom by the sea,
That a maiden there lived whom you may know
By the name of Annabel Lee;
And this maiden she lived with no other thought
Than to love and be loved by me. 
I was a child and she was a child,
In this kingdom by the sea;
But we loved with a love that was more than love-
I and my Annabel Lee;
With a love that the winged seraphs of heaven
Coveted her and me. 
And this was the reason that, long ago,
In this kingdom by the sea,
A wind blew out of a cloud, chilling
My beautiful Annabel Lee;
So that her highborn kinsman came
And bore her away from me,
To shut her up in a sepulchre
In this kingdom by the sea. 
The angels, not half so happy in heaven,
Went envying her and me-
Yes!- that was the reason (as all men know,
In this kingdom by the sea)
That the wind came out of the cloud by night,
Chilling and killing my Annabel Lee. 
But our love it was stronger by far than the love
Of those who were older than we-
Of many far wiser than we-
And neither the angels in heaven above,
Nor the demons down under the sea,
Can ever dissever my soul from the soul
Of the beautiful Annabel Lee. 
For the moon never beams without bringing me dreams
Of the beautiful Annabel Lee;
And the stars never rise but I feel the bright eyes
Of the beautiful Annabel Lee;
And so, all the night-tide, I lie down by the side
Of my darling- my darling- my life and my bride,
In the sepulchre there by the sea,
In her tomb by the sounding sea."
11,Jack Prelutsky,As Soon as Fred Gets Out of Bed,"As soon as Fred gets out of bed,
his underwear goes on his head.
His mother laughs, ""Don't put it there,
a head's no place for underwear!""
But near his ears, above his brains,
is where Fred's underwear remains.
At night when Fred goes back to bed,
he deftly plucks it off his head.
His mother switches off the light
and softly croons, ""Good night! Good night!""
And then, for reasons no one knows,
Fred's underwear goes on his toes."
12,James Wright,"Autumn Begins in Martins Ferry, Ohio","In the Shreve High football stadium,
I think of Polacks nursing long beers in Tiltonsville,
And gray faces of Negroes in the blast furnace at Benwood,
And the ruptured night watchman of Wheeling Steel,
Dreaming of heroes.
All the proud fathers are ashamed to go home.
Their women cluck like starved pullets,
Dying for love.
Therefore,
Their sons grow suicidally beautiful
At the beginning of October,
And gallop terribly against each other's bodies."
13,Jack Prelutsky,Be Glad Your Nose is on Your Face,"Be glad your nose is on your face,
not pasted on some other place,
for if it were where it is not,
you might dislike your nose a lot.
Imagine if your precious nose
were sandwiched in between your toes,
that clearly would not be a treat,
for you'd be forced to smell your feet.
Your nose would be a source of dread
were it attached atop your head,
it soon would drive you to despair,
forever tickled by your hair.
Within your ear, your nose would be
an absolute catastrophe,
for when you were obliged to sneeze,
your brain would rattle from the breeze.
Your nose, instead, through thick and thin,
remains between your eyes and chin,
not pasted on some other place--
be glad your nose is on your face!"
14,Shel Silverstein,Bear In There,"There's a Polar Bear
In our Frigidaire--
He likes it 'cause it's cold in there.
With his seat in the meat
And his face in the fish
And his big hairy paws
In the buttery dish,
He's nibbling the noodles,
He's munching the rice,
He's slurping the soda,
He's licking the ice.
And he lets out a roar
If you open the door.
And it gives me a scare
To know he's in there--
That Polary Bear
In our Fridgitydaire."
15,Robert Frost,Birches,"When I see birches bend to left and right
Across the lines of straighter darker trees,
I like to think some boy's been swinging them.
But swinging doesn't bend them down to stay
As ice-storms do.  Often you must have seen them
Loaded with ice a sunny winter morning
After a rain.  They click upon themselves
As the breeze rises, and turn many-colored
As the stir cracks and crazes their enamel.
Soon the sun's warmth makes them shed crystal shells
Shattering and avalanching on the snow-crust--
Such heaps of broken glass to sweep away
You'd think the inner dome of heaven had fallen.
They are dragged to the withered bracken by the load,
And they seem not to break; though once they are bowed
So low for long, they never right themselves:
You may see their trunks arching in the woods
Years afterwards, trailing their leaves on the ground
Like girls on hands and knees that throw their hair
Before them over their heads to dry in the sun.
But I was going to say when Truth broke in
With all her matter-of-fact about the ice-storm
I should prefer to have some boy bend them
As he went out and in to fetch the cows--
Some boy too far from town to learn baseball,
Whose only play was what he found himself,
Summer or winter, and could play alone.
One by one he subdued his father's trees
By riding them down over and over again
Until he took the stiffness out of them,
And not one but hung limp, not one was left
For him to conquer.  He learned all there was
To learn about not launching out too soon
And so not carrying the tree away
Clear to the ground.  He always kept his poise
To the top branches, climbing carefully
With the same pains you use to fill a cup
Up to the brim, and even above the brim.
Then he flung outward, feet first, with a swish,
Kicking his way down through the air to the ground.
So was I once myself a swinger of birches.
And so I dream of going back to be.
It's when I'm weary of considerations,
And life is too much like a pathless wood
Where your face burns and tickles with the cobwebs
Broken across it, and one eye is weeping
From a twig's having lashed across it open.
I'd like to get away from earth awhile
And then come back to it and begin over.
May no fate willfully misunderstand me
And half grant what I wish and snatch me away
Not to return.  Earth's the right place for love:
I don't know where it's likely to go better.
I'd like to go by climbing a birch tree,
And climb black branches up a snow-white trunk
Toward heaven, till the tree could bear no more,
But dipped its top and set me down again.
That would be good both going and coming back.
One could do worse than be a swinger of birches."
16,William Butler Yeats,Brown Penny,"I whispered, 'I am too young,'
And then, 'I am old enough';
Wherefore I threw a penny
To find out if I might love.
'Go and love, go and love, young man,
If the lady be young and fair.'
Ah, penny, brown penny, brown penny,
I am looped in the loops of her hair.
O love is the crooked thing,
There is nobody wise enough
To find out all that is in it,
For he would be thinking of love
Till the stars had run away
And the shadows eaten the moon.
Ah, penny, brown penny, brown penny,
One cannot begin it too soon."
17,Alfred Lord Tennyson,By An Evolutionist,"The Lord let the house of a brute to the soul of a man,
And the man said, ‘Am I your debtor?’
And the Lord-‘Not yet; but make it as clean as you can,
And then I will let you a better.’ 
I.
If my body come from brutes, my soul uncertain or a fable,
Why not bask amid the senses while the sun of morning shines,
I, the finer brute rejoicing in my hounds, and in my stable,
Youth and health, and birth and wealth, and choice of women and of wines? 
II.
What hast thou done for me, grim Old Age,
save breaking my bones on the rack?
Would I had past in the morning that looks so bright from afar! 
OLD AGE 
Done for thee? starved the wild beast that was linkt with thee eighty years back.
Less weight now for the ladder-of-heaven that hangs on a star. 
I.
If my body come from brutes, tho’ somewhat finer than their own,
I am heir, and this my kingdom. Shall the royal voice be mute?
No, but if the rebel subject seek to drag me from the throne,
Hold the sceptre, Human Soul, and rule thy province of the brute. 
II.
I have climb’d to the snows of Age, and I gaze at a field in the Past.
Where I sank with the body at times in the sloughs of a low desire,
But I hear no yelp of the beast, and the Man is quiet at last,
As he stands on the heights of his life with a glimpse of a height that is higher."
18,Sylvia Plath,Daddy,"You do not do, you do not do
Any more, black shoe
In which I have lived like a foot
For thirty years, poor and white,
Barely daring to breathe or Achoo.
Daddy, I have had to kill you.
You died before I had time--
Marble-heavy, a bag full of God,
Ghastly statue with one gray toe
Big as a Frisco seal
And a head in the freakish Atlantic
Where it pours bean green over blue
In the waters off beautiful Nauset.
I used to pray to recover you.
Ach, du.
In the German tongue, in the Polish town
Scraped flat by the roller
Of wars, wars, wars.
But the name of the town is common.
My Polack friend
Says there are a dozen or two.
So I never could tell where you
Put your foot, your root,
I never could talk to you.
The tongue stuck in my jaw.
It stuck in a barb wire snare.
Ich, ich, ich, ich,
I could hardly speak.
I thought every German was you.
And the language obscene
An engine, an engine
Chuffing me off like a Jew.
A Jew to Dachau, Auschwitz, Belsen.
I began to talk like a Jew.
I think I may well be a Jew.
The snows of the Tyrol, the clear beer of Vienna
Are not very pure or true.
With my gipsy ancestress and my weird luck
And my Taroc pack and my Taroc pack
I may be a bit of a Jew.
I have always been scared of you,
With your Luftwaffe, your gobbledygoo.
And your neat mustache
And your Aryan eye, bright blue.
Panzer-man, panzer-man, O You-- 
Not God but a swastika
So black no sky could squeak through.
Every woman adores a Fascist,
The boot in the face, the brute
Brute heart of a brute like you.
You stand at the blackboard, daddy,
In the picture I have of you,
A cleft in your chin instead of your foot
But no less a devil for that, no not
Any less the black man who
Bit my pretty red heart in two.
I was ten when they buried you.
At twenty I tried to die
And get back, back, back to you.
I thought even the bones would do.
But they pulled me out of the sack,
And they stuck me together with glue.
And then I knew what to do.
I made a model of you,
A man in black with a Meinkampf look
And a love of the rack and the screw.
And I said I do, I do.
So daddy, I'm finally through.
The black telephone's off at the root,
The voices just can't worm through.
If I've killed one man, I've killed two--
The vampire who said he was you
And drank my blood for a year,
Seven years, if you want to know.
Daddy, you can lie back now.
There's a stake in your fat black heart
And the villagers never liked you.
They are dancing and stamping on you.
They always knew it was you.
Daddy, daddy, you bastard, I'm through."
19,Dylan Thomas,Deaths And Entrances,"On almost the incendiary eve
Of several near deaths,
When one at the great least of your best loved
And always known must leave
Lions and fires of his flying breath,
Of your immortal friends
Who'd raise the organs of the counted dust
To shoot and sing your praise,
One who called deepest down shall hold his peace
That cannot sink or cease
Endlessly to his wound
In many married London's estranging grief.
On almost the incendiary eve
When at your lips and keys,
Locking, unlocking, the murdered strangers weave,
One who is most unknown,
Your polestar neighbour, sun of another street,
Will dive up to his tears.
He'll bathe his raining blood in the male sea
Who strode for your own dead
And wind his globe out of your water thread
And load the throats of shells
with every cry since light
Flashed first across his thunderclapping eyes.
On almost the incendiary eve
Of deaths and entrances,
When near and strange wounded on London's waves
Have sought your single grave,
One enemy, of many, who knows well
Your heart is luminous
In the watched dark, quivering through locks and caves,
Will pull the thunderbolts
To shut the sun, plunge, mount your darkened keys
And sear just riders back,
Until that one loved least
Looms the last Samson of your zodiac."
20,Robert Louis Stevenson,Dedication,"My first gift and my last, to you
I dedicate this fascicle of songs -
The only wealth I have:
Just as they are, to you. 
I speak the truth in soberness, and say
I had rather bring a light to your clear eyes,
Had rather hear you praise
This bosomful of songs 
Than that the whole, hard world with one consent,
In one continuous chorus of applause
Poured forth for me and mine
The homage of ripe praise. 
I write the finis here against my love,
This is my love's last epitaph and tomb.
Here the road forks, and I
Go my way, far from yours."
21,Seamus Heaney,Digging,"Between my finger and my thumb
The squat pin rest; snug as a gun.
Under my window, a clean rasping sound
When the spade sinks into gravelly ground:
My father, digging. I look down
Till his straining rump among the flowerbeds
Bends low, comes up twenty years away
Stooping in rhythm through potato drills
Where he was digging.
The coarse boot nestled on the lug, the shaft
Against the inside knee was levered firmly.
He rooted out tall tops, buried the bright edge deep
To scatter new potatoes that we picked,
Loving their cool hardness in our hands.
By God, the old man could handle a spade.
Just like his old man.
My grandfather cut more turf in a day
Than any other man on Toner's bog.
Once I carried him milk in a bottle
Corked sloppily with paper. He straightened up
To drink it, then fell to right away
Nicking and slicing neatly, heaving sods
Over his shoulder, going down and down
For the good turf. Digging.
The cold smell of potato mould, the squelch and slap
Of soggy peat, the curt cuts of an edge
Through living roots awaken in my head.
But I've no spade to follow men like them.
Between my finger and my thumb
The squat pen rests.
I'll dig with it."
22,Dylan Thomas,Do not go gentle into that good night,"Do not go gentle into that good night,
Old age should burn and rave at close of day;
Rage, rage against the dying of the light.
Though wise men at their end know dark is right,
Because their words had forked no lightning they
Do not go gentle into that good night.
Good men, the last wave by, crying how bright
Their frail deeds might have danced in a green bay,
Rage, rage against the dying of the light.
Wild men who caught and sang the sun in flight,
And learn, too late, they grieved it on its way,
Do not go gentle into that good night.
Grave men, near death, who see with blinding sight
Blind eyes could blaze like meteors and be gay,
Rage, rage against the dying of the light.
And you, my father, there on the sad height,
Curse, bless, me now with your fierce tears, I pray.
Do not go gentle into that good night.
Rage, rage against the dying of the light."
23,Matthew Arnold,Dover Beach,"The sea is calm to-night.
The tide is full, the moon lies fair
Upon the straits; on the French coast the light
Gleams and is gone; the cliffs of England stand,
Glimmering and vast, out in the tranquil bay.
Come to the window, sweet is the night-air!
Only, from the long line of spray
Where the sea meets the moon-blanch'd land,
Listen! you hear the grating roar
Of pebbles which the waves draw back, and fling,
At their return, up the high strand,
Begin, and cease, and then again begin,
With tremulous cadence slow, and bring
The eternal note of sadness in. 
Sophocles long ago
Heard it on the Agean, and it brought
Into his mind the turbid ebb and flow
Of human misery; we
Find also in the sound a thought,
Hearing it by this distant northern sea. 
The Sea of Faith
Was once, too, at the full, and round earth's shore
Lay like the folds of a bright girdle furl'd.
But now I only hear
Its melancholy, long, withdrawing roar,
Retreating, to the breath
Of the night-wind, down the vast edges drear
And naked shingles of the world. 
Ah, love, let us be true
To one another! for the world, which seems
To lie before us like a land of dreams,
So various, so beautiful, so new,
Hath really neither joy, nor love, nor light,
Nor certitude, nor peace, nor help for pain;
And we are here as on a darkling plain
Swept with confused alarms of struggle and flight,
Where ignorant armies clash by night."
24,Langston Hughes,Dream Deferred,"What happens to a dream deferred?
Does it dry up
Like a raisin in the sun?
Or fester like a sore--
And then run?
Does it stink like rotten meat?
Or crust and sugar over--
like a syrupy sweet?
Maybe it just sags
like a heavy load.
Or does it explode?"
25,Thomas Hardy,During Wind And Rain,"They sing their dearest songs--
He, she, all of them--yea,
Treble and tenor and bass.
And one to play;
With the candles mooning each face....
Ah, no; the years O!
How the sick leaves reel down in throngs! 
They clear the creeping moss--
Elders and juniors--aye,
Making the pathways neat
And the garden gay;
And they build a shady seat....
Ah, no; the years, the years;
See, the white storm-birds wing across! 
They are blithely breakfasting all--
Men and maidens--yea,
Under the summer tree,
With a glimpse of the bay,
While pet fowl come to the knee....
Ah, no; the years O!
And the rotten rose is ripped from the wall. 
They change to a high new house,
He, she, all of them--aye,
Clocks and carpets and chairs
On the lawn all day,
And brightest things that are theirs....
Ah, no; the years, the years;
Down their carved names the raindrop plows."
26,e.e. cummings,Epithalamion,"I.
Thou aged unreluctant earth who dost
with quivering continual thighs invite
the thrilling rain the slender paramour
to toy with thy extraordinary lust,
(the sinuous rain which rising from thy bed
steals to his wife the sky and hour by hour
wholly renews her pale flesh with delight)
-immortally whence are the high gods fled?
Speak elm eloquent pandar with thy nod
significant to the ecstatic earth
in token of his coming whom her soul
burns to embrace-and didst thou know the god
from but the imprint of whose cloven feet
the shrieking dryad sought her leafy goal,
at the mere echo of whose shining mirth
the furious hearts of mountains ceased to beat?
Wind beautifully who wanderest
over smooth pages of forgotten joy
proving the peaceful theorems of the flowers
-didst e'er depart upon more exquisite quest?
and did thy fortunate fingers sometime dwell
(within a greener shadow of secret bowers)
among the curves of that delicious boy
whose serious grace one goddess loved too well?
Chryselephantine Zeus Olympian
sceptred colossus of the Pheidian soul
whose eagle frights creation,in whose palm
Nike presents the crown sweetest to man,
whose lilied robe the sun's white hands emboss,
betwixt whose absolute feet anoint with calm
of intent stars circling the acerb pole
poises,smiling,the diadumenos
in whose young chiseled eyes the people saw
their once again victorious Pantarkes
(whose grace the prince of artists made him bold
to imitate between the feet of awe),
thunderer whose omnipotent brow showers
its curls of unendured eternal gold
over the infinite breast in bright degrees,
whose pillow is the graces and the hours,
father of gods and men whose subtle throne
twain sphinxes bear each with a writhing youth
caught to her brazen breasts,whose foot-stool tells
how fought the looser of the warlike zone
of her that brought forth tall Hippolytus,
lord on whose pedestal the deep expels
(over Selene's car closing uncouth)
of Helios the sweet wheels tremulous-
are there no kings in Argos,that the song
is silent,of the steep unspeaking tower
within whose brightening strictness Danae
saw the night severed and the glowing throng
descend,felt on her flesh the amorous strain
of gradual hands and yielding to that fee
her eager body's unimmortal flower
knew in the darkness a more burning rain?
2.
And still the mad magnificent herald Spring
assembles beauty from forgetfulness
with the wild trump of April:witchery
of sound and odour drives the wingless thing
man forth in the bright air,for now the red
leaps in the maple's cheek,and suddenly
by shining hordes in sweet unserious dress
ascends the golden crocus from the dead.
On dappled dawn forth rides the pungent sun
with hooded day preening upon his hand
followed by gay untimid final flowers
(which dressed in various tremulous armor stun
the eyes of ragged earth who sees them pass)
while hunted from his kingdom winter cowers,
seeing green armies steadily expand
hearing the spear-song of the marching grass.
A silver sudden parody of snow
tickles the air to golden tears,and hark!
the flicker's laughing yet,while on the hills
the pines deepen to whispers primeval and throw
backward their foreheads to the barbarous bright
sky,and suddenly from the valley thrills
the unimaginable upward lark
and drowns the earth and passes into light
(slowly in life's serene perpetual round
a pale world gathers comfort to her soul,
hope richly scattered by the abundant sun
invades the new mosaic of the ground
-let but the incurious curtaining dusk be drawn
surpassing nets are sedulously spun
to snare the brutal dew,-the authentic scroll
of fairie hands and vanishing with the dawn).
Spring,that omits no mention of desire
in every curved and curling thing,yet holds
continuous intercourse-through skies and trees
the lilac's smoke the poppy's pompous fire
the pansy's purple patience and the grave
frailty of daises-by what rare unease
revealed of teasingly transparent folds-
with man's poor soul superlatively brave.
Surely from robes of particoloured peace
with mouth flower-faint and undiscovered eyes
and dim slow perfect body amorous
(whiter than lilies which are born and cease
for being whiter than this world)exhales
the hovering high perfume curious
of that one month for whom the whole years dies,
risen at length from palpitating veils.
O still miraculous May!O shining girl
of time untarnished!O small intimate
gently primeval hands,frivolous feet
divine!O singular and breathless pearl!
O indefinable frail ultimate pose!
O visible beatitude sweet sweet
intolerable!silence immaculate
of god's evasive audible great rose!
3.
Lover,lead forth thy love unto that bed
prepared by whitest hands of waiting years,
curtained with wordless worship absolute,
unto the certain altar at whose head
stands that clear candle whose expecting breath
exults upon the tongue of flame half-mute,
(haste ere some thrush with silver several tears
complete the perfumed paraphrase of death).
Now is the time when all occasional things
close into silence,only one tree,one
svelte translation of eternity
unto the pale meaning of heaven clings,
(whose million leaves in winsome indolence
simmer upon thinking twilight momently)
as down the oblivious west's numerous dun
magnificence conquers magnificence.
In heaven's intolerable athanor
inimitably tortured the base day
utters at length her soft intrinsic hour,
and from those tenuous fires which more and more
sink and are lost the divine alchemist,
the magus of creation,lifts a flower-
whence is the world's insufferable clay
clothed with incognizable amethyst.
Lady at whose imperishable smile
the amazed doves flicker upon sunny wings
as if in terror of eternity,
(or seeming that they would mistrust a while
the moving of beauteous dead mouths throughout
that very proud transparent company
of quivering ghosts-of-love which scarcely sings
drifting in slow diaphanous faint rout),
queen in the inconceivable embrace
of whose tremendous hair that blossom stands
whereof is most desire,yet less than those
twain perfect roses whose ambrosial grace,
goddess,thy crippled thunder-forging groom
or the loud lord of skipping maenads knows,-
having Discordia's apple in thy hands,
which the scared shepherd gave thee for his doom-
O thou within the chancel of whose charms
the tall boy god of everlasting war
received the shuddering sacrament of sleep,
betwixt whose cool incorrigible arms
impaled upon delicious mystery,
with gaunt limbs reeking of the whispered deep,
deliberate groping ocean fondled o'er
the warm long flower of unchastity,
imperial Cytherea,from frail foam
sprung with irrevocable nakedness
to strike the young world into smoking song-
as the first star perfects the sensual dome
of darkness,and the sweet strong final bird
transcends the sight,O thou to whom belong
th ehearts of lovers!-I beseech thee bless
thy suppliant singer and his wandering word."
27,Stephen Crane,Fast rode the knight,"Fast rode the knight
With spurs, hot and reeking,
Ever waving an eager sword,
""To save my lady!""
Fast rode the knIght,
And leaped from saddle to war.
Men of steel flickered and gleamed
Like riot of silver lights,
And the gold of the knight's good banner
Still waved on a castle wall.
. . . . .
A horse,
Blowing, staggering, bloody thing,
Forgotten at foot of castle wall.
A horse
Dead at foot of castle wall."
28,Elizabeth Bishop,Filling Station,"Oh, but it is dirty!
--this little filling station,
oil-soaked, oil-permeated
to a disturbing, over-all
black translucency.
Be careful with that match!
Father wears a dirty,
oil-soaked monkey suit
that cuts him under the arms,
and several quick and saucy
and greasy sons assist him
(it's a family filling station),
all quite thoroughly dirty.
Do they live in the station?
It has a cement porch
behind the pumps, and on it
a set of crushed and grease-
impregnated wickerwork;
on the wicker sofa
a dirty dog, quite comfy.
Some comic books provide
the only note of color--
of certain color. They lie
upon a big dim doily
draping a taboret
(part of the set), beside
a big hirsute begonia.
Why the extraneous plant?
Why the taboret?
Why, oh why, the doily?
(Embroidered in daisy stitch
with marguerites, I think,
and heavy with gray crochet.)
Somebody embroidered the doily.
Somebody waters the plant,
or oils it, maybe. Somebody
arranges the rows of cans
so that they softly say:
ESSO--SO--SO--SO
to high-strung automobiles.
Somebody loves us all."
