,Author,Poem,Form
54,Raquel D. Bailey,"ultrasound
the thump of a bee
against the window",Haiku
55,Michael Morell,"high summer
the slow drift
of a heron’s landing",Haiku
56,Michele L. Harvey,fireflies rearranging bedtime,Haiku
57,Paul Kulwatno,"downpour
alone together 
with our phones",Haiku
58,Jacquie Pearce,"dawn chorus
all the birds
he used to know",Haiku
59,Martha Magenta,"frosty night . . .
the horse’s breath 
melts a star",Haiku
60,Temple Cone,"barn owl’s cry:
the darkness
pierced with wounds",Haiku
61,Matthew Markworth,"it ends 
with a text 
april rain",Haiku
62,Roland Packer,"crack house
even the shadows 
have shadows",Haiku
63,Annette Makino,"to lead a life
of such purpose . . .
ants in a line",Haiku
64,Joe McKeon,"sun-bleached billboard
the gravel road ends
at peaches",Haiku
65,Brett Brady,"flute notes
fluttering
       petals",Haiku
66,Alan Summers,"the rill's trick
a greenfinch moves
its green around",Haiku
67,Ron C. Moss,"the first stroke
of the ink brush . . .
ravens in snow",Haiku
68,Jayne Miller,"evening prayer
the sediment
begins to settle",Haiku
69,Barry George,"a turnstile
going around by itself— 
winter rain",Haiku
70,Sam Bateman,"winter solitude
lost in the hum
of my computer",Haiku
71,Gary Hotham,"light
for their world
fireflies",Haiku
72,Michele Root-Bernstein,"gathering dusk
all the colored pencils
back in their cup",Haiku
73,Alison Woolpert,"the dogs
shake it loose
summer sea",Haiku
74,Tigz DePalma,watermelon flesh deep in summer,Haiku
75,Lew Watts,"trial separation
another inch of snow
on the gin bottles",Haiku
76,Corine Timmer,"summer holiday
walking the dogs
where they want to go",Haiku
77,Celia Stuart-Powles,window . . . to window . . . and back . . . the cat,Haiku
78,Francine Banwarth,"spindrift . . .
I go where
the story takes me",Haiku
79,Christina Sng,"drifting snowflakes
the police car’s ascent
up our driveway",Haiku
80,Roland Packer,"evening breeze
through the barnboards
final bid",Haiku
81,Robyn Hood Black,"wedding invitations
the press and release
of the nib",Haiku
82,Julie Warther,"paddling through stars
the wake of a boat
long passed",Haiku
83,Olivier Schopfer,"pride parade
from behind a cloud
the sun comes out",Haiku
